Aggregate,Microwave,Fridge
182.43,4.0,1.0
182.58,4.0,1.0
182.68,4.0,0.0
182.49,4.0,0.0
182.71,4.0,1.0
182.32,4.0,0.0
182.16,4.0,1.0
182.37,4.0,0.0
182.93,4.0,1.0
183.03,4.0,0.0
183.04,4.0,0.0
182.83,5.0,0.0
182.59,4.0,1.0
182.77,4.0,1.0
182.29,4.0,0.0
182.39,4.0,0.0
182.96,4.0,0.0
182.72,4.0,0.0
182.61,4.0,1.0
182.67,4.0,1.0
183.04,4.0,1.0
182.72,4.0,1.0
182.35,4.0,1.0
182.58,4.0,1.0
183.17,5.0,0.0
183.38,5.0,1.0
182.99,4.0,0.0
182.99,5.0,1.0
183.46,4.0,1.0
182.88,4.0,1.0
182.61,4.0,1.0
182.97,4.0,0.0
182.98,4.0,1.0
182.58,4.0,1.0
182.81,4.0,1.0
182.89,4.0,1.0
182.61,4.0,0.0
182.4,4.0,0.0
182.69,4.0,1.0
182.78,4.0,0.0
182.97,5.0,1.0
182.67,4.0,1.0
182.95,4.0,1.0
183.18,4.0,0.0
182.84,4.0,0.0
183.06,4.0,1.0
182.8,4.0,1.0
182.85,4.0,1.0
182.3,4.0,1.0
182.99,4.0,0.0
182.87,4.0,1.0
182.47,4.0,1.0
182.58,4.0,0.0
183.03,4.0,1.0
182.74,4.0,1.0
182.65,4.0,1.0
183.21,5.0,0.0
183.09,4.0,1.0
182.49,4.0,0.0
183.24,4.0,0.0
183.07,5.0,1.0
183.43,4.0,1.0
182.64,4.0,0.0
182.74,4.0,0.0
183.03,4.0,0.0
182.32,4.0,1.0
182.86,4.0,0.0
182.72,4.0,0.0
183.0,4.0,1.0
183.04,4.0,1.0
182.44,4.0,1.0
182.54,4.0,1.0
182.9,4.0,1.0
183.0,4.0,0.0
182.89,4.0,1.0
182.5,4.0,1.0
182.37,4.0,0.0
182.84,4.0,0.0
182.49,4.0,0.0
182.9,4.0,0.0
182.98,4.0,0.0
182.5,4.0,0.0
182.96,4.0,1.0
182.61,4.0,0.0
182.9,4.0,0.0
182.7,4.0,1.0
182.62,4.0,0.0
182.99,4.0,0.0
182.66,4.0,1.0
183.35,4.0,0.0
182.31,4.0,0.0
182.89,4.0,1.0
182.69,4.0,1.0
182.8,4.0,1.0
182.67,4.0,0.0
182.88,4.0,0.0
182.75,4.0,0.0
182.56,4.0,0.0
182.92,4.0,0.0
182.76,4.0,1.0
182.75,4.0,1.0
182.71,4.0,1.0
183.49,5.0,1.0
183.0,4.0,1.0
182.83,4.0,0.0
182.7,4.0,0.0
183.14,4.0,1.0
182.39,4.0,1.0
182.89,4.0,1.0
182.21,4.0,1.0
182.88,5.0,0.0
182.59,4.0,1.0
182.74,4.0,1.0
182.93,4.0,1.0
182.36,4.0,0.0
182.8,4.0,0.0
182.61,4.0,0.0
183.04,4.0,1.0
182.08,4.0,1.0
182.84,4.0,1.0
183.21,5.0,0.0
182.68,4.0,0.0
182.7,4.0,0.0
182.53,4.0,0.0
183.22,5.0,1.0
183.15,4.0,1.0
182.99,4.0,0.0
183.03,5.0,1.0
182.92,4.0,0.0
182.57,4.0,1.0
182.29,4.0,1.0
182.44,4.0,0.0
182.5,3.0,0.0
182.3,4.0,1.0
182.08,4.0,1.0
182.13,4.0,1.0
182.57,5.0,1.0
182.3,5.0,1.0
182.23,4.0,0.0
182.49,4.0,0.0
182.44,4.0,1.0
181.85,4.0,0.0
182.03,3.0,1.0
182.18,4.0,0.0
182.19,4.0,1.0
181.55,4.0,0.0
181.82,4.0,1.0
182.22,4.0,0.0
182.83,4.0,0.0
182.74,5.0,1.0
182.76,4.0,1.0
182.63,4.0,0.0
182.52,4.0,0.0
184.34,5.0,1.0
183.97,4.0,0.0
183.43,4.0,0.0
183.66,4.0,0.0
183.74,4.0,1.0
183.78,4.0,1.0
183.78,5.0,1.0
183.82,5.0,1.0
183.98,4.0,1.0
183.93,4.0,0.0
183.52,5.0,0.0
183.52,4.0,1.0
183.67,4.0,1.0
183.96,5.0,1.0
184.39,5.0,1.0
184.01,4.0,0.0
183.95,5.0,1.0
183.74,4.0,1.0
183.65,5.0,0.0
183.92,4.0,1.0
183.68,5.0,1.0
183.82,5.0,1.0
183.88,5.0,1.0
184.13,4.0,1.0
183.31,5.0,0.0
183.65,4.0,0.0
184.27,5.0,1.0
183.64,4.0,1.0
183.87,4.0,1.0
184.0,4.0,0.0
183.82,4.0,0.0
183.84,5.0,1.0
183.28,4.0,0.0
183.78,4.0,0.0
183.19,4.0,1.0
184.04,4.0,1.0
183.7,5.0,0.0
183.78,5.0,1.0
183.95,4.0,1.0
183.85,4.0,1.0
184.01,4.0,1.0
183.83,4.0,1.0
183.99,4.0,1.0
183.99,4.0,0.0
184.29,4.0,0.0
183.98,4.0,0.0
184.02,4.0,1.0
184.08,5.0,1.0
184.05,4.0,0.0
184.39,5.0,1.0
184.24,5.0,1.0
184.39,5.0,1.0
184.4,5.0,1.0
184.56,5.0,0.0
183.97,4.0,0.0
183.67,4.0,1.0
183.91,4.0,0.0
184.15,4.0,1.0
183.18,4.0,1.0
183.79,4.0,0.0
183.62,3.0,0.0
184.11,4.0,1.0
182.05,3.0,0.0
182.17,3.0,1.0
182.06,3.0,1.0
182.21,3.0,0.0
182.07,4.0,1.0
182.03,4.0,1.0
182.28,3.0,1.0
181.96,4.0,0.0
182.0,3.0,0.0
181.72,3.0,1.0
182.31,4.0,1.0
182.16,3.0,0.0
182.28,3.0,1.0
182.32,3.0,1.0
182.26,4.0,0.0
181.63,4.0,0.0
181.59,3.0,0.0
182.2,3.0,1.0
182.27,4.0,1.0
182.08,4.0,0.0
181.95,3.0,0.0
181.81,4.0,0.0
181.54,3.0,0.0
182.26,3.0,1.0
182.4,4.0,1.0
182.44,3.0,0.0
182.23,3.0,0.0
181.99,4.0,1.0
182.05,3.0,1.0
181.99,3.0,0.0
181.97,3.0,0.0
182.34,4.0,0.0
182.14,3.0,1.0
181.99,3.0,1.0
181.46,3.0,0.0
181.56,3.0,1.0
182.2,3.0,1.0
182.24,4.0,1.0
182.65,5.0,1.0
182.24,4.0,0.0
181.53,4.0,0.0
182.28,4.0,0.0
182.42,3.0,0.0
182.13,4.0,1.0
182.26,3.0,0.0
182.37,4.0,1.0
181.7,4.0,1.0
181.88,4.0,1.0
182.14,3.0,1.0
182.37,4.0,0.0
182.07,3.0,0.0
181.82,3.0,0.0
182.25,4.0,0.0
182.24,3.0,1.0
181.45,4.0,1.0
181.66,3.0,0.0
181.92,4.0,0.0
182.17,3.0,1.0
182.35,3.0,0.0
181.84,3.0,1.0
181.52,3.0,1.0
182.21,4.0,1.0
182.04,4.0,1.0
181.9,3.0,0.0
181.41,3.0,1.0
181.92,3.0,0.0
181.79,3.0,1.0
182.13,3.0,0.0
182.05,3.0,1.0
182.11,3.0,1.0
182.4,4.0,0.0
182.39,4.0,1.0
182.06,3.0,1.0
182.27,3.0,1.0
181.74,3.0,1.0
182.35,3.0,1.0
182.02,3.0,0.0
182.39,4.0,1.0
182.29,4.0,1.0
182.48,4.0,0.0
182.38,3.0,0.0
182.15,3.0,0.0
182.27,3.0,0.0
182.03,3.0,0.0
182.27,3.0,0.0
182.23,4.0,1.0
182.16,4.0,1.0
182.65,4.0,1.0
182.65,4.0,1.0
332.84,4.0,186.0
335.89,4.0,183.0
338.1,4.0,189.0
340.22,3.0,190.0
340.15,4.0,191.0
338.93,3.0,189.0
337.81,4.0,188.0
336.76,4.0,185.0
335.17,3.0,183.0
332.39,3.0,181.0
332.38,3.0,180.0
330.47,3.0,179.0
329.46000000000004,3.0,180.0
329.63,4.0,180.0
326.72,3.0,174.0
324.78000000000003,3.0,173.0
324.07,3.0,171.0
323.6,3.0,174.0
322.41,3.0,170.0
322.73,3.0,170.0
321.94,4.0,172.0
322.27,4.0,172.0
321.83,4.0,169.0
320.98,3.0,170.0
320.96,3.0,172.0
320.64,3.0,170.0
320.75,3.0,169.0
321.22,3.0,171.0
321.04,3.0,170.0
320.0,4.0,169.0
319.35,3.0,168.0
320.20000000000005,3.0,168.0
319.62,3.0,170.0
320.13,3.0,168.0
319.8,3.0,167.0
319.18,3.0,169.0
319.09,4.0,170.0
319.79,4.0,168.0
319.64,3.0,170.0
318.67,4.0,169.0
319.64,3.0,167.0
318.54,3.0,170.0
319.12,3.0,168.0
319.32,3.0,167.0
318.01,4.0,168.0
319.31,5.0,169.0
318.46000000000004,3.0,169.0
318.54,4.0,166.0
317.92,3.0,168.0
317.64,3.0,170.0
318.62,4.0,166.0
317.72,4.0,167.0
318.13,3.0,169.0
318.13,3.0,165.0
317.16,4.0,167.0
317.63,4.0,168.0
317.99,3.0,167.0
316.5,3.0,168.0
317.08,3.0,165.0
318.77,4.0,166.0
317.91,3.0,166.0
318.31,4.0,168.0
318.56,3.0,166.0
318.20000000000005,4.0,167.0
318.11,3.0,164.0
317.76,3.0,166.0
317.97,4.0,166.0
317.87,3.0,168.0
317.74,3.0,165.0
317.32,3.0,167.0
318.25,3.0,167.0
318.72,3.0,165.0
318.03,3.0,167.0
317.29,3.0,164.0
317.44,3.0,164.0
317.22,3.0,167.0
318.04,4.0,166.0
317.74,3.0,164.0
317.9,4.0,166.0
316.47,4.0,166.0
317.11,4.0,165.0
317.25,4.0,167.0
317.15,4.0,165.0
316.81,5.0,165.0
317.68,5.0,167.0
316.66,4.0,164.0
316.47,3.0,166.0
316.72,4.0,166.0
317.11,4.0,164.0
317.57,3.0,167.0
317.95000000000005,4.0,165.0
318.33,4.0,164.0
317.45,3.0,166.0
318.47,3.0,164.0
318.07,3.0,163.0
317.6,4.0,166.0
318.28,3.0,165.0
317.32,3.0,164.0
317.76,3.0,166.0
318.75,3.0,164.0
318.26,3.0,164.0
317.48,3.0,166.0
317.33,4.0,163.0
318.41,3.0,166.0
316.1,4.0,162.0
315.76,4.0,163.0
315.38,3.0,163.0
316.05,4.0,163.0
315.47,4.0,164.0
314.97,3.0,164.0
314.74,4.0,163.0
314.78,3.0,163.0
314.26,3.0,162.0
315.13,4.0,162.0
313.49,3.0,163.0
315.15,3.0,162.0
314.19,4.0,162.0
314.56,4.0,162.0
313.86,4.0,162.0
314.47,4.0,162.0
313.93,3.0,163.0
314.04,4.0,161.0
314.0,3.0,163.0
313.09000000000003,4.0,162.0
314.52,4.0,161.0
314.02,4.0,162.0
313.59000000000003,3.0,163.0
313.87,3.0,160.0
313.0,3.0,162.0
313.62,4.0,160.0
313.41,3.0,161.0
313.85,3.0,161.0
313.65,3.0,162.0
313.4,4.0,162.0
314.03,4.0,162.0
313.76,4.0,160.0
314.78000000000003,4.0,163.0
313.72,4.0,162.0
314.06,4.0,159.0
314.38,4.0,163.0
312.68,3.0,161.0
312.9,3.0,159.0
313.63,3.0,162.0
312.97,3.0,159.0
313.7,3.0,162.0
313.73,4.0,162.0
313.39,3.0,160.0
312.65000000000003,3.0,162.0
313.37,3.0,159.0
313.21,3.0,161.0
312.39,3.0,159.0
312.89,4.0,161.0
313.09000000000003,3.0,159.0
313.2,3.0,160.0
312.65,4.0,159.0
313.59000000000003,3.0,160.0
313.12,3.0,160.0
312.7,3.0,160.0
311.96,3.0,160.0
312.68,3.0,161.0
313.08000000000004,3.0,161.0
311.5,3.0,159.0
312.58000000000004,3.0,160.0
312.83000000000004,3.0,160.0
312.56,3.0,159.0
313.19,4.0,160.0
312.87,3.0,159.0
311.86,4.0,160.0
312.51,3.0,158.0
312.23,4.0,160.0
311.55,3.0,158.0
312.95,3.0,158.0
312.59000000000003,3.0,159.0
311.93,3.0,160.0
311.86,3.0,160.0
311.18,3.0,158.0
312.96000000000004,3.0,159.0
311.51,3.0,160.0
311.32,3.0,158.0
311.16,3.0,158.0
312.05,3.0,158.0
312.17,3.0,160.0
312.07,4.0,159.0
312.73,3.0,159.0
311.18,3.0,159.0
311.01,3.0,158.0
310.79,3.0,159.0
310.93,3.0,158.0
311.5,3.0,159.0
311.85,3.0,158.0
310.99,3.0,159.0
311.09,3.0,157.0
310.33,3.0,156.0
310.03,4.0,157.0
310.5,3.0,159.0
310.82,3.0,157.0
311.02,3.0,158.0
311.69,4.0,158.0
311.39,3.0,158.0
311.8,3.0,157.0
310.11,3.0,156.0
309.82,3.0,158.0
310.41,3.0,156.0
310.59000000000003,4.0,158.0
310.13,4.0,156.0
310.43,4.0,159.0
310.6,3.0,157.0
310.51,4.0,158.0
309.32,4.0,158.0
308.97,4.0,158.0
310.53,3.0,156.0
309.74,4.0,158.0
309.79999999999995,4.0,156.0
309.37,4.0,158.0
309.56,4.0,156.0
309.92,3.0,157.0
309.24,3.0,155.0
309.36,3.0,158.0
242.55,4.0,1.0
182.86,3.0,1.0
182.97000000000003,3.0,0.0
183.0,4.0,0.0
182.54,3.0,0.0
183.06,3.0,1.0
182.77,3.0,0.0
182.72,3.0,1.0
183.05,3.0,0.0
182.82,4.0,0.0
182.81,4.0,0.0
182.93,4.0,0.0
182.91,3.0,1.0
182.49,3.0,0.0
182.61,4.0,0.0
182.96,4.0,1.0
182.68,3.0,0.0
182.7,3.0,1.0
182.98,3.0,0.0
182.86,4.0,1.0
182.71,3.0,0.0
182.32,3.0,0.0
182.2,4.0,1.0
182.74,3.0,1.0
182.2,4.0,1.0
182.23,4.0,1.0
182.32,4.0,0.0
182.08,3.0,0.0
182.36,4.0,1.0
182.27,4.0,0.0
182.43,3.0,0.0
182.38,3.0,1.0
182.24,3.0,0.0
182.18,3.0,1.0
182.01,4.0,1.0
182.62,3.0,1.0
182.24,4.0,1.0
183.51,3.0,0.0
182.98,4.0,1.0
183.22,3.0,1.0
183.63,4.0,1.0
183.36,3.0,0.0
183.33,3.0,1.0
183.02,4.0,1.0
183.45,4.0,1.0
184.05,4.0,1.0
184.01,4.0,1.0
183.65,4.0,0.0
183.86,4.0,1.0
183.61,3.0,1.0
183.68,4.0,0.0
183.05,3.0,0.0
183.2,3.0,1.0
183.19,3.0,1.0
183.83,3.0,1.0
183.55,3.0,0.0
183.55,3.0,1.0
183.43,3.0,0.0
183.57,4.0,0.0
183.87,3.0,0.0
184.06,4.0,0.0
183.24,4.0,1.0
183.55,3.0,1.0
183.57,4.0,1.0
182.9,3.0,0.0
183.32,3.0,1.0
183.29,3.0,0.0
183.27,4.0,1.0
183.87,4.0,0.0
183.81,3.0,1.0
183.76,4.0,0.0
183.78,4.0,0.0
182.96,4.0,0.0
183.21,3.0,0.0
183.86,3.0,0.0
183.7,3.0,0.0
183.58,4.0,1.0
183.47,4.0,1.0
183.25,3.0,1.0
183.78,4.0,0.0
183.95,3.0,1.0
183.91,4.0,1.0
183.4,3.0,1.0
184.05,4.0,1.0
183.84,3.0,1.0
183.87,4.0,1.0
183.56,3.0,1.0
183.98,3.0,0.0
183.88,3.0,0.0
183.82,3.0,1.0
183.3,3.0,0.0
184.64,4.0,1.0
184.33,4.0,1.0
184.09,4.0,0.0
184.19,4.0,1.0
183.64,3.0,1.0
183.9,3.0,0.0
183.28,3.0,0.0
184.19,3.0,0.0
184.07,3.0,1.0
183.87,3.0,1.0
183.76,4.0,1.0
183.99,3.0,1.0
182.21,3.0,0.0
181.97,4.0,1.0
182.36,3.0,0.0
182.02,4.0,0.0
183.24,4.0,1.0
182.67,4.0,1.0
182.76,4.0,1.0
182.45,3.0,1.0
182.46,3.0,0.0
182.43,3.0,0.0
182.47,4.0,0.0
182.5,3.0,1.0
182.52,3.0,0.0
182.31,4.0,1.0
182.41000000000005,4.0,1.0
182.5,3.0,0.0
182.34,3.0,1.0
181.87,3.0,1.0
182.63,3.0,0.0
182.41,3.0,0.0
182.66000000000005,5.0,1.0
181.99,3.0,0.0
182.54,4.0,1.0
182.61,4.0,1.0
182.41000000000005,3.0,1.0
182.13,4.0,0.0
182.31,4.0,1.0
182.67,4.0,1.0
182.35,3.0,1.0
182.36,3.0,1.0
182.44,3.0,1.0
182.18,3.0,1.0
182.39,3.0,1.0
182.29,4.0,0.0
181.77,3.0,0.0
182.51,3.0,0.0
181.94,4.0,1.0
182.53,3.0,0.0
182.29,4.0,0.0
182.27,3.0,1.0
182.37,3.0,0.0
182.33,4.0,0.0
182.07,4.0,0.0
182.61,4.0,0.0
182.47,4.0,1.0
182.04,3.0,0.0
182.67,3.0,1.0
182.58,3.0,1.0
182.32,3.0,0.0
182.3,3.0,0.0
182.71,3.0,0.0
182.49,3.0,0.0
182.11,3.0,1.0
181.86,3.0,0.0
181.96,3.0,1.0
182.39,4.0,0.0
182.38,4.0,1.0
182.25,4.0,1.0
182.14,4.0,1.0
181.95,4.0,1.0
182.43,4.0,0.0
182.01,4.0,1.0
182.73,4.0,1.0
182.75,5.0,1.0
182.57,5.0,1.0
182.27,4.0,1.0
182.51,4.0,0.0
182.66000000000005,4.0,1.0
182.15,4.0,1.0
182.65,4.0,1.0
182.52,4.0,0.0
182.49,4.0,1.0
182.35,4.0,1.0
182.72000000000003,4.0,0.0
182.44,4.0,1.0
182.42,4.0,0.0
182.58,4.0,1.0
182.52,4.0,0.0
182.1,4.0,0.0
182.48,5.0,1.0
182.42,4.0,1.0
182.31,4.0,0.0
182.33,4.0,0.0
182.49,4.0,1.0
182.35,4.0,1.0
182.52,5.0,1.0
182.68,4.0,0.0
181.81,4.0,0.0
183.22,4.0,0.0
182.31,4.0,0.0
182.42,4.0,0.0
182.67,4.0,0.0
182.33,4.0,1.0
182.48,4.0,1.0
182.33,4.0,1.0
182.44,4.0,1.0
182.64,4.0,0.0
182.29,4.0,1.0
182.34,4.0,1.0
182.47,4.0,0.0
182.23,4.0,1.0
181.98,4.0,1.0
182.2,4.0,1.0
182.57,4.0,1.0
182.41,4.0,0.0
182.1,4.0,0.0
182.23,4.0,0.0
182.39,5.0,1.0
182.35,4.0,1.0
182.34,4.0,1.0
182.0,4.0,1.0
182.25,4.0,0.0
182.43,4.0,0.0
182.22,4.0,1.0
182.02,4.0,0.0
182.06,4.0,1.0
182.38,4.0,1.0
182.29,4.0,1.0
181.81,4.0,0.0
182.49,4.0,1.0
182.52,5.0,0.0
182.55,5.0,0.0
182.56,4.0,1.0
182.38,4.0,1.0
181.76,4.0,1.0
181.55,4.0,0.0
182.27,4.0,0.0
182.13,4.0,1.0
182.32,4.0,1.0
182.47,4.0,0.0
182.28,4.0,1.0
182.12,4.0,1.0
182.13,4.0,1.0
182.72,4.0,0.0
182.88,5.0,1.0
182.41,5.0,1.0
181.78,4.0,1.0
182.65,4.0,1.0
182.34,4.0,1.0
182.35,4.0,0.0
182.1,4.0,0.0
182.12,4.0,0.0
182.38,4.0,0.0
181.99,4.0,0.0
182.11,4.0,0.0
182.26,4.0,0.0
182.21,4.0,0.0
181.7,4.0,1.0
182.1,4.0,1.0
181.89,4.0,0.0
181.2,4.0,1.0
181.51,4.0,1.0
181.9,4.0,1.0
181.85,4.0,1.0
181.09,4.0,0.0
181.81,4.0,1.0
181.82,4.0,0.0
181.79,4.0,1.0
181.34,4.0,1.0
181.63,4.0,0.0
181.88,4.0,1.0
181.62,4.0,0.0
181.46,4.0,1.0
181.4,4.0,0.0
181.8,4.0,1.0
181.56,4.0,0.0
181.19,4.0,1.0
181.74,4.0,0.0
182.65,4.0,0.0
182.67,4.0,0.0
182.64,4.0,0.0
182.85,4.0,1.0
182.79,4.0,0.0
183.09,4.0,0.0
182.89,4.0,1.0
182.35,4.0,1.0
182.88,4.0,0.0
182.73,4.0,1.0
182.69,4.0,1.0
183.11,4.0,0.0
182.67,4.0,1.0
183.15,4.0,1.0
183.2,4.0,0.0
183.06,4.0,1.0
183.06,4.0,1.0
182.79,4.0,0.0
183.27,4.0,0.0
182.92,4.0,0.0
182.36,4.0,1.0
182.79,4.0,0.0
182.89,5.0,0.0
182.44,4.0,1.0
182.87,4.0,0.0
182.86,4.0,1.0
182.77,4.0,1.0
182.5,4.0,0.0
182.94,5.0,0.0
183.0,4.0,0.0
182.64,4.0,1.0
182.77,4.0,1.0
182.84,4.0,0.0
182.17,4.0,1.0
182.7,4.0,0.0
182.9,4.0,0.0
182.8,4.0,1.0
182.86,4.0,1.0
182.88,4.0,1.0
182.52,4.0,0.0
182.93,4.0,0.0
182.86,4.0,0.0
182.64,4.0,1.0
183.11,4.0,1.0
183.15,4.0,1.0
183.18,4.0,1.0
182.59,4.0,1.0
183.05,5.0,0.0
183.46,4.0,0.0
183.27,4.0,1.0
183.08,4.0,0.0
183.59,5.0,1.0
183.38,4.0,0.0
182.87,4.0,1.0
183.23,4.0,1.0
183.33,4.0,1.0
183.02,4.0,1.0
182.04,4.0,0.0
182.83,4.0,1.0
183.01,5.0,1.0
183.04,4.0,1.0
182.7,4.0,1.0
182.77,5.0,1.0
183.13,4.0,0.0
183.08,4.0,0.0
182.95,4.0,0.0
182.05,4.0,0.0
181.73,4.0,0.0
181.61,4.0,0.0
181.44,4.0,0.0
181.96,4.0,1.0
181.8,4.0,1.0
181.42,4.0,1.0
181.92,4.0,1.0
182.04,4.0,1.0
181.56,4.0,0.0
181.49,4.0,1.0
181.84,4.0,1.0
182.03,4.0,1.0
182.2,5.0,0.0
182.13,4.0,1.0
182.21,4.0,1.0
181.75,4.0,0.0
181.98,4.0,1.0
182.11,5.0,0.0
181.31,4.0,1.0
182.07,4.0,1.0
181.83,4.0,1.0
181.41,5.0,0.0
181.81,4.0,0.0
181.91,4.0,0.0
181.92,5.0,1.0
182.07,4.0,1.0
182.38,4.0,0.0
182.23,4.0,1.0
182.04,4.0,1.0
181.85,4.0,1.0
181.85,4.0,0.0
182.46,4.0,1.0
182.13,4.0,1.0
182.17,4.0,0.0
182.25,4.0,0.0
182.32,4.0,1.0
182.58,4.0,1.0
182.69,4.0,0.0
182.63,4.0,0.0
182.14,4.0,1.0
181.98,5.0,1.0
182.26,4.0,1.0
182.28,4.0,0.0
182.36,5.0,0.0
182.31,5.0,0.0
182.95,5.0,1.0
182.71,5.0,0.0
182.52,5.0,0.0
181.92,4.0,0.0
182.42,5.0,0.0
182.66,4.0,1.0
182.81,5.0,0.0
182.42,5.0,1.0
182.53,5.0,1.0
182.74,5.0,0.0
182.56,4.0,1.0
181.94,5.0,1.0
182.28,4.0,1.0
182.52,4.0,0.0
182.85,7.0,1.0
182.22,4.0,0.0
182.14,4.0,1.0
